method,has_efficient_backend,efficient_solver,efficient_optimizer,note
analytic_first_order,no,None,None,直接计算无迭代求解器
second_order_kkt,no,None,None,共轭梯度线性求解无backend区分
projected_gradient,no,None,None,始终使用manual的projected_gradient
weighted_steepest,yes,library_quasi_newton,torch.optim.LBFGS,所有weighted_*方法的efficient后端统一使用LBFGS
weighted_newton,yes,library_quasi_newton,torch.optim.LBFGS,
weighted_newton_lm,yes,library_quasi_newton,torch.optim.LBFGS,
weighted_dfp,yes,library_quasi_newton,torch.optim.LBFGS,
weighted_conjugate_fr,yes,library_quasi_newton,torch.optim.LBFGS,
weighted_conjugate_pr_plus,yes,library_quasi_newton,torch.optim.LBFGS,
external_point,yes,external_point_method + library_quasi_newton,torch.optim.LBFGS,外点法的内层无约束求解使用LBFGS
external_point_softplus,yes,external_point_method + library_quasi_newton,torch.optim.LBFGS,平滑外点法的内层求解使用LBFGS
dual_loss,yes,approximate_primal_dual + library_quasi_newton,torch.optim.LBFGS,对偶法的内层无约束求解使用LBFGS
toilet_tissue,yes,approximate_primal_dual + library_quasi_newton,torch.optim.LBFGS,定向攻击的内层无约束求解使用LBFGS
text_reverse_greedy,no,None,None,贪心搜索无backend区分
text_linearized_milp,yes,efficient_linearized_milp,scipy.optimize.milp,高效后端使用scipy分支定界求解MILP
optimizer_steepest_descent,unused,optimizer_steepest_descent,torch.optim.SGD,已定义但未被任何方法调用——死代码
